date, pm25, pm10
2020/3/24, 73, 27
2020/3/25, 87, 29
2020/3/26, 90, 34
2020/3/27, 101, 11
2020/3/28, 41, 17
2020/3/29, 61, 24
2020/3/30, 75, 31
2020/3/31, 93, 32
2019/11/12, 1, 44
2019/11/13, 111, 25
2019/11/14, 72, 25
2019/11/15, 70, 26
2019/11/16, 76, 34
2019/11/17, 92, 45
2019/11/18, 115, 51
2019/11/19, 136, 53
2019/11/20, 143, 53
2019/11/21, 142, 50
2019/11/22, 133, 73
2019/11/23, 152, 57
2019/11/24, 148, 53
2019/11/25, 136, 51
2019/11/26, 133, 43
2019/11/27, 108, 28
2019/11/28, 74, 30
2019/11/29, 77, 21
2019/11/30, 57, 13
2019/12/1, 55, 20
2019/12/2, 69, 35
2019/12/3, 97, 35
2019/12/4, 101, 35
2019/12/5, 101, 25
2019/12/6, 75, 26
2019/12/7, 76, 18
2019/12/8, 60, 39
2019/12/9, 89, 31
2019/12/10, 92, 31
2019/12/11, 94, 28
2019/12/12, 90, 
2019/12/14, 66, 26
2019/12/15, 83, 23
2019/12/16, 77, 24
2019/12/17, 80, 20
2019/12/18, 68, 23
2019/12/19, 76, 30
2019/12/20, 91, 36
2019/12/21, 104, 24
2019/12/22, 77, 25
2019/12/23, 78, 27
2019/12/24, 83, 25
2019/12/25, 79, 24
2019/12/26, 78, 26
2019/12/27, 83, 31
2019/12/28, 94, 26
2019/12/29, 82, 
2019/7/1, 33, 7
2019/7/2, 25, 
2019/7/5, 158, 44
2019/7/6, 120, 17
2019/7/7, 58, 21
2019/7/8, 67, 61
2019/7/9, 160, 47
2019/7/10, 130, 32
2019/7/11, 95, 
2019/4/1, 54, 
2019/4/2, 66, 
2019/4/3, 95, 
2019/4/4, 123, 
2019/4/5, 147, 
2019/4/6, 95, 
2019/4/7, 48, 
2019/4/8, 76, 
2019/4/9, 74, 
2019/4/10, 78, 
2019/4/11, 83, 
2019/4/12, 87, 
2019/4/13, 96, 
2019/4/14, 87, 
2019/4/15, 84, 
2019/4/16, 85, 
2019/4/17, 59, 
2019/4/18, 82, 
2019/4/19, 62, 
2019/4/20, 73, 
2019/4/21, 103, 
